donnee;code;libelle
TEXT1;9;ARGILE
TEXT2;0;ABSENTE
TEXT2;1;SABLE
TEXT2;2;SABLE LIMONEUX
TEXT2;3;SABLE ARGILEUX
TEXT2;4;LIMON SABLEUX
TEXT2;5;LIMON ARGILEUX
TEXT2;6;LIMON
TEXT2;7;ARGILE LIMONEUSE
TEXT2;8;ARGILE SABLO-LIMONEUSE
TEXT2;9;ARGILE
TIGE;1;NORMALE
TIGE;5;JUMELLE
TIGE;6;FOURCHUE
TIGE;7;ECIMEE
TM2;1;BOSQUET
TM2;2;BOQUETEAU
TM2;3;BOIS
TOPO;0;TERRAIN PLAT
TOPO;1;SOMMET
TOPO;2;HAUT DE VERSANT
TOPO;3;MI-VERSANT CONCAVE
TOPO;4;MI-VERSANT RECTILIGNE
TOPO;5;MI-VERSANT CONVEXE
TOPO;6;REPLAT
TOPO;7;BAS DE VERSANT
TOPO;8;VALLEE OU FOND DE VALLON LARGE
TOPO;9;DEPRESSION OU FOND DE VALLON ETROIT
TPESPAR1;02;CHENE PEDONCULE
TPESPAR1;03;CHENE SESSILE
TPESPAR1;04;CHENE ROUGE
TPESPAR1;05;CHENE PUBESCENT
TPESPAR1;09;HETRE
TPESPAR1;10;CHATAIGNIER
TPESPAR1;11;CHARME
TPESPAR1;12V;BOULEAU VERRUQUEUX
TPESPAR1;13B;AULNE BLANC
TPESPAR1;13C;AULNE DE CORSE
TPESPAR1;13G;AULNE GLUTINEUX
TPESPAR1;14;ROBINIER FAUX ACACIA
TPESPAR1;15P;ERABLE PLANE
TPESPAR1;15S;ERABLE SYCOMORE
TPESPAR1;17C;FRENE COMMUN
TPESPAR1;19;PEUPLIER CULTIVE
TPESPAR1;22M;MERISIER
TPESPAR1;25B;SAULE BLANC
TPESPAR1;27C;NOYER COMMUN
TPESPAR1;27N;NOYER NOIR
TPESPAR1;36;EUCALYPTUS (GENRE)
TPESPAR1;42;TULIPIER DE VIRGINIE
TPESPAR1;51;PIN MARITIME
TPESPAR1;52;PIN SYLVESTRE
TPESPAR1;53CO;PIN LARICIO DE CORSE
TPESPAR1;54;PIN NOIR D'AUTRICHE
TPESPAR1;55;PIN PARASOL
TPESPAR1;56;PIN WEYMOUTH
TPESPAR1;57A;PIN D'ALEP
TPESPAR1;57B;PIN BRUTIA (OU) ELDARICA
TPESPAR1;58;PIN A CROCHETS
TPESPAR1;61;SAPIN PECTINE
TPESPAR1;62;EPICEA COMMUN
TPESPAR1;63;MELEZE D'EUROPE
TPESPAR1;64;DOUGLAS
TPESPAR1;65;CEDRE DE L'ATLAS
TPESPAR1;68CC;CYPRES CHAUVE
TPESPAR1;68CJ;CRYPTOMERIA DU JAPON
TPESPAR1;68CM;CYPRES DE LAMBERT
TPESPAR1;68PC;PIN DE MURRAY
TPESPAR1;68TG;THUYA GEANT
TPESPAR1;68TH;TSUGA HETEROPHYLLE
TPESPAR1;71;SAPIN DE NORDMANN
TPESPAR1;72V;SAPIN DE VANCOUVER
TPESPAR1;73;EPICEA DE SITKA
TPESPAR1;74J;MELEZE DU JAPON
TPESPAR1;77;PIN A L'ENCENS ET HYBRIDES
TPESPAR2;02;CHENE PEDONCULE
TPESPAR2;03;CHENE SESSILE
TPESPAR2;04;CHENE ROUGE
TPESPAR2;05;CHENE PUBESCENT
TPESPAR2;09;HETRE
TPESPAR2;10;CHATAIGNIER
TPESPAR2;11;CHARME
TPESPAR2;12V;BOULEAU VERRUQUEUX
TPESPAR2;13B;AULNE BLANC
TPESPAR2;13C;AULNE DE CORSE
TPESPAR2;13G;AULNE GLUTINEUX
TPESPAR2;14;ROBINIER FAUX ACACIA
TPESPAR2;15P;ERABLE PLANE
TPESPAR2;15S;ERABLE SYCOMORE
TPESPAR2;17C;FRENE COMMUN
TPESPAR2;19;PEUPLIER CULTIVE
TPESPAR2;22M;MERISIER
TPESPAR2;25B;SAULE BLANC
TPESPAR2;27C;NOYER COMMUN
TPESPAR2;27N;NOYER NOIR
TPESPAR2;36;EUCALYPTUS (GENRE)
TPESPAR2;42;TULIPIER DE VIRGINIE
TPESPAR2;51;PIN MARITIME
TPESPAR2;52;PIN SYLVESTRE
TPESPAR2;53CO;PIN LARICIO DE CORSE
TPESPAR2;54;PIN NOIR D'AUTRICHE
TPESPAR2;55;PIN PARASOL
TPESPAR2;56;PIN WEYMOUTH
TPESPAR2;57A;PIN D'ALEP
TPESPAR2;57B;PIN BRUTIA (OU) ELDARICA
TPESPAR2;58;PIN A CROCHETS
TPESPAR2;61;SAPIN PECTINE
TPESPAR2;62;EPICEA COMMUN
TPESPAR2;63;MELEZE D'EUROPE
TPESPAR2;64;DOUGLAS
TPESPAR2;65;CEDRE DE L'ATLAS
TPESPAR2;68CC;CYPRES CHAUVE
TPESPAR2;68CJ;CRYPTOMERIA DU JAPON
TPESPAR2;68CM;CYPRES DE LAMBERT
TPESPAR2;68PC;PIN DE MURRAY
TPESPAR2;68TG;THUYA GEANT
TPESPAR2;68TH;TSUGA HETEROPHYLLE
TPESPAR2;71;SAPIN DE NORDMANN
TPESPAR2;72V;SAPIN DE VANCOUVER
TPESPAR2;73;EPICEA DE SITKA
TPESPAR2;74J;MELEZE DU JAPON
TPESPAR2;77;PIN A L'ENCENS ET HYBRIDES
TPLANT;0;PAS DE PLANTATION
TPLANT;A;PLANTATION SOUS ABRI
TPLANT;B;PLANTATION EN BANDES
TPLANT;I;PLANTATION EN PLEIN NON REGULIERE
TPLANT;P;PLANTATION REGULIERE EN PLEIN
TPLANT;S;SEMIS EN PLEIN
TSOL;01;ARENOSOL
TSOL;02;REGOSOL
TSOL;03;ANTHROPOSOL
TSOL;11;SOL ALLUVIAL
TSOL;12;RANKER A MULL
TSOL;13;RANKER A MODER-MOR
TSOL;14;LAPIAZ
TSOL;15;LITHOSOL SUR EBOULIS
TSOL;16;LITHOSOL SUR DALLE COMPACTE
TSOL;17;LITHOSOL SUR DALLE FISSUREE
TSOL;18;ANDOSOL
TSOL;19;SOL COLLUVIAL
TSOL;21;SOL HUMOCALCAIRE
TSOL;22;SOL HUMOCALCIQUE
TSOL;23;RENDZINE HUMIFERE
TSOL;24;RENZINE DOLOMITIQUE
TSOL;25;RENDZINE GRISE
TSOL;26;RENDZINE BRUNIFIEE
TSOL;27;RENDZINE BRUNE/ROUGE
TSOL;28;CALCAIRE HYDROMORPHE
TSOL;29;RENDZINE COLLUVIALE
TSOL;31;SOL BRUN CALCAIRE
TSOL;32;SOL BRUN CALCIQUE
TSOL;33;SOL BRUN
TSOL;34;SOL BRUN ACIDE
TSOL;35;SOL BRUN OCREUX
TSOL;38;SOL BRUN HYDROMORPHE
TSOL;39;SOL BRUN COLLUVIAL
TSOL;41;SOL BRUN FAIBLEMENT LESSIVE
TSOL;42;SOL BRUN LESSIVE
TSOL;43;SOL LESSIVE
TSOL;44;SOL LESSIVE ACIDE
TSOL;45;SOL LESSIVE PODZOLIQUE
TSOL;48;SOL LESSIVE HYDROMORPHE
TSOL;51;SOL OCRE PODZOLIQUE
TSOL;52;SOL PODZOLIQUE
TSOL;53;PODZOL
TSOL;58;SOL PODZOLIQUE HYDROMORPHE
TSOL;59;PODZOL HUMIQUE
TSOL;61;SOL BRUN FERSIALLITIQUE
TSOL;62;SOL ROUGE FERSIALLITIQUE
TSOL;63;SOL FERSIALLITIQUE DESATURE
TSOL;81;PSEUDOGLEY
TSOL;82;GLEY
TSOL;83;TOURBE
TSOL;85;STAGNOGLEY
TSOL;87;PSEUDOGLEY PODZOLIQUE
TSOL;88;PELOSOL
TSOL;89;GLEY HUMIFERE
TSOL;99;ABSENCE OU AUTRE
UTA1;0;PRODUCTION DE BOIS
UTA1;2;ACCUEIL, LOISIRS, PARC PUBLIC, HABITAT, PARC PRIVE, ENCLOS
UTA1;3;TERRAIN DE MANOEUVRE MILITAIRE EN ACTIVITE OU ZONE INTERDITE
UTA1;4;RESERVE INTEGRALE D'ACCES INTERDIT
UTA1;5;AUTRES RESERVES
UTA1;6;AGRICOLE
UTA1;8;PROTECTION DES SOLS ET DES EAUX
UTA1;A;PASSAGE DE RESEAU
UTA1;B;EMPRISE DE GRANDE INFRASTRUCTURE LINEAIRE
UTA1;X;SANS UTILISATION
UTA2;0;PRODUCTION DE BOIS
UTA2;2;ACCUEIL, LOISIRS, PARC PUBLIC, HABITAT, PARC PRIVE, ENCLOS
UTA2;3;TERRAIN DE MANOEUVRE MILITAIRE EN ACTIVITE OU ZONE INTERDITE
UTA2;4;RESERVE INTEGRALE D'ACCES INTERDIT
UTA2;5;AUTRES RESERVES
UTA2;6;AGRICOLE
UTA2;8;PROTECTION DES SOLS ET DES EAUX
UTA2;A;PASSAGE DE RESEAU
UTA2;B;EMPRISE DE GRANDE INFRASTRUCTURE LINEAIRE
UTA2;X;SANS UTILISATION
VEGET;0;ARBRE VIVANT SUR PIED
VEGET;5;ARBRE MORT SUR PIED
VEGET;A;CHABLIS
VEGET;C;ARBRE MORT SUR PIED CASSE
