idp;xl93;yl93;dep;csa;uta1;uta2;tm2;plisi;elisi;sfo;gest;incid;peupnr;dc;dcespar1;dcespar2;tplant;tpespar1;tpespar2;dist;iti;pentexp;portance;asperite;esspre;cac;ess_age_1
715976;904179;6375188;05;1;0;;3;0;;1;0;0;0;0;;;0;;;1;2;3;1;0;52;13;
715983;259340;6810216;22;1;0;;3;1;263;4;1;0;0;0;;;0;;;0;0;0;1;0;12;08;
716020;1002989;6825966;88;1;0;;3;0;;1;2;0;0;8;;;0;;;0;0;3;2;2;61;15;
716028;515255;6338509;47;1;0;;3;1;60;1;1;0;0;0;;;0;;;1;1;0;1;0;05;11;
716035;754302;6490359;63;1;0;;3;0;;1;1;0;0;0;;;0;;;1;1;3;1;0;64;09;
716048;502081;6436523;24;1;0;;3;0;;1;2;0;0;0;;;P;77;;2;1;0;1;0;77;02;
716062;377287;6813253;35;2;0;6;1;0;;1;1;0;0;0;;;0;;;0;0;0;1;0;09;13;
716074;851415;6279737;13;1;0;;2;1;174;3;0;0;0;0;;;0;;;0;0;0;1;0;33;10;
716082;882305;6737068;52;1;0;;3;0;;1;1;0;0;0;;;P;54;;0;0;0;1;0;54;10;
716084;956089;6370745;04;1;0;;3;0;;1;1;0;0;0;;;0;;;0;0;3;1;1;09;13;
716105;781693;6891828;51;1;0;;3;0;;1;1;0;0;0;;;0;;;0;0;1;1;0;09;11;
716106;592408;6485726;19;1;0;;3;1;248;3;2;0;0;0;;;0;;;0;0;0;1;0;02;13;
716128;627480;6617321;36;1;0;;3;0;;1;1;0;0;0;;;0;;;1;1;0;2;0;02;05;
716132;552999;6312222;82;1;0;;2;1;195;1;1;0;0;0;;;0;;;0;0;0;1;0;05;10;
716134;407585;6365372;40;1;0;;3;1;308;1;2;0;2;4;51;;0;;;0;0;0;1;0;02;NR;
716141;696188;6944525;60;1;0;;3;1;106;3;2;0;0;0;;;0;;;0;0;1;2;0;25;08;
716144;823034;6817521;10;1;0;;3;1;240;1;2;0;0;8;;;0;;;2;1;0;1;0;02;14;
716155;652148;6699051;18;1;0;;3;0;;3;2;0;0;0;;;0;;;0;0;0;2;0;10;06;
716173;749648;6294588;34;1;0;;3;0;;4;0;0;0;0;;;0;;;4;1;0;2;0;06;13;
716182;756505;6750133;89;1;0;;3;0;;3;1;1;0;0;;;0;;;0;0;1;1;0;03;11;
716191;696027;6333002;12;1;6;0;3;0;;4;0;0;0;0;;;0;;;2;2;4;;;05;14;
716200;595218;6223963;09;1;0;;2;0;;3;0;1;0;0;;;0;;;0;0;3;1;0;13;08;
716210;515860;6652225;86;1;0;;3;1;165;4;1;0;0;0;;;0;;;1;1;0;1;0;05;07;
716212;646792;6537225;23;1;0;;3;1;83;1;1;0;0;0;;;0;;;1;1;2;1;1;02;16;
716222;749256;6602306;03;1;0;;3;0;;3;2;0;0;0;;;0;;;0;0;0;1;0;02;13;
716228;403743;6871000;14;1;0;;2;1;170;1;2;0;0;0;;;0;;;1;1;0;1;0;09;15;
716243;793840;6440069;43;1;0;;3;0;;3;1;0;0;0;;;0;;;2;1;1;1;2;74;03;
716244;679401;6612888;03;3;0;;3;0;;0;0;0;1;0;;;0;;;0;0;0;1;0;02;NR;
716245;716558;6516655;63;1;0;;3;1;226;1;1;0;0;0;;;0;;;0;0;0;1;0;18;07;
716252;392435;6223644;64;1;0;;3;1;212;3;0;0;0;0;;;0;;;3;1;4;;;12;10;
716257;812821;6439908;07;1;0;;3;0;;4;2;0;0;8;;;0;;;0;0;1;2;0;15;07;
