idp;xl93;yl93;dep;csa;uta1;uta2;tm2;plisi;elisi;sfo;gest;incid;peupnr;dc;dcespar1;dcespar2;tplant;tpespar1;tpespar2;dist;iti;pentexp;portance;asperite;esspre;cac;ess_age_1
700017;885119;6599150;39;1;0;;3;0;;2;0;0;0;0;;;0;;;0;0;0;1;0;03;08;
700024;763926;6917965;51;1;0;;3;0;;1;1;0;0;0;;;0;;;2;1;0;1;0;52;10;
700038;633458;6615273;36;1;0;;3;0;;1;2;0;0;9;;;0;;;1;1;0;1;0;03;13;
700039;427169;6802851;53;1;0;;2;1;65;1;1;0;0;0;;;0;;;0;0;3;1;1;10;14;
700041;425681;6379210;33;1;0;;3;0;;0;2;0;2;3;51;;0;;;1;1;0;1;0;51;NR;
700050;940552;6770544;88;1;0;;3;0;;1;2;0;0;8;;;0;;;0;0;0;1;0;09;11;
700074;665766;6417174;15;1;0;;3;0;;3;1;0;0;9;;;0;;;0;0;4;;;09;14;
700075;878224;6377408;26;3;0;;3;0;;0;0;0;0;0;;;0;;;2;2;4;;;05;18;
700080;696532;6392938;12;1;0;;3;0;;1;2;0;0;0;;;0;;;4;1;2;1;0;09;15;
700095;846607;6769352;52;1;0;;3;0;;1;2;0;0;0;;;0;;;0;0;1;2;0;02;14;
700099;943621;6314909;04;1;0;;3;0;;4;0;0;0;0;;;0;;;1;2;4;;;05;12;
700124;617407;7085119;62;1;0;;2;1;248;1;2;0;0;0;;;P;17C;15S;0;0;0;1;0;17;05;
700126;676200;6944693;80;1;0;;3;0;;3;1;0;0;0;;;0;;;0;0;0;1;0;19;06;
700135;784104;6470124;43;1;0;;3;0;;1;1;1;0;0;;;0;;;0;0;3;1;0;52;11;
700139;690585;6161232;66;3;0;;3;0;;0;0;0;0;0;;;0;;;0;0;0;1;0;33;AA;
700157;634669;6521341;23;1;0;;3;0;;1;1;0;0;0;;;P;62;61;0;0;1;1;0;62;10;
700178;994701;6792060;88;1;0;;3;0;;1;2;0;0;0;;;P;62;;1;1;0;2;0;62;12;
700191;1213350;6088812;2A;1;0;;3;0;;3;1;0;0;0;;;0;;;1;1;1;1;0;51;12;
700210;787693;6422138;43;1;0;6;3;0;;1;1;1;0;0;;;0;;;0;0;0;1;0;62;11;
700220;824491;6519736;69;1;0;;3;0;;3;1;0;0;0;;;0;;;0;0;2;2;0;10;11;
700228;365825;6389691;33;1;0;;3;0;;1;1;0;0;0;;;0;;;2;1;1;2;0;51;09;
700264;475546;6368808;47;1;0;;3;0;;3;2;0;0;0;;;0;;;1;1;0;1;0;03;13;
700282;515558;6254593;31;1;0;;3;0;;1;0;0;0;0;;;0;;;0;0;0;1;0;02;12;
700284;924158;6375016;05;1;8;;3;0;;2;;0;0;0;;;0;;;4;2;4;;;54;05;
700287;691089;6221161;11;1;0;;3;0;;1;1;0;0;0;;;I;51;;1;1;3;1;0;51;09;
700292;640443;6733125;45;1;0;;3;0;;1;2;0;0;0;;;0;;;0;0;0;2;0;52;10;
700315;541600;6863865;27;1;0;;3;0;;1;2;0;0;0;;;0;;;1;1;0;1;0;03;15;
700319;351333;6327871;40;1;0;;3;0;;1;2;0;0;8;;;0;;;0;0;0;2;0;51;11;
700323;758231;6482333;63;1;0;A;3;2;306;4;0;0;0;9;;;0;;;0;0;0;1;0;13;12;
700331;915966;6932654;57;1;0;;3;0;;1;2;0;0;8;;;0;;;0;0;0;1;0;09;15;
700359;642777;6177616;66;3;6;0;3;0;;0;0;0;0;0;;;0;;;4;2;2;1;0;52;11;
700362;805779;6903616;51;1;0;;3;2;172;1;2;0;0;0;;;P;54;;0;0;0;2;0;54;04;
700367;503758;6880169;14;1;0;;2;1;2;3;1;0;0;0;;;0;;;0;0;0;1;0;25;04;
700369;626643;6517411;19;1;0;;3;0;;1;2;0;0;8;;;P;62;;1;1;1;1;0;62;06;
700375;979595;6894127;57;1;0;;3;0;;1;2;0;0;9;;;0;;;2;1;0;1;0;02;06;
700380;531524;6853955;61;1;0;;3;0;;1;2;0;0;0;;;P;53CO;;1;1;0;1;0;53;06;
700394;566367;6477950;24;1;0;6;2;1;142;1;0;0;0;0;;;0;;;0;0;0;1;0;12;07;
700397;676217;6353149;12;1;0;;3;0;;1;2;0;0;0;;;P;64;;0;0;1;2;0;64;04;
700413;632873;6187688;11;1;0;;3;0;;2;0;0;0;0;;;0;;;0;0;2;2;1;52;09;
700423;958832;6804363;88;1;0;;3;0;;3;1;0;0;0;;;0;;;0;0;0;1;0;17;12;
700427;846436;6749367;21;1;0;;3;0;;3;2;0;0;0;;;0;;;1;1;2;1;0;09;15;
700428;606660;6995251;80;1;0;;3;1;130;1;2;0;0;0;;;0;;;0;0;0;1;0;17;14;
700431;356314;6937349;50;1;0;;3;0;;3;2;0;0;8;;;0;;;0;0;0;1;0;02;09;
700432;888470;6407291;26;1;0;8;3;0;;1;1;0;0;0;;;0;;;2;2;3;2;0;54;10;
700450;764448;6744070;89;1;0;;3;0;;1;2;0;0;0;;;0;;;2;1;0;2;0;03;13;
700455;999495;6883960;67;1;0;;3;0;;1;2;0;0;6;09;;0;;;0;0;0;2;0;09;NR;
700474;499807;6644364;86;1;0;;3;0;;4;2;1;0;0;;;0;;;1;1;0;1;0;10;06;
700478;806673;6421977;07;1;0;;3;0;;1;2;0;0;8;;;P;64;;2;1;2;2;0;64;06;
700485;623135;6217736;11;1;0;;3;0;;1;1;0;0;0;;;P;54;;3;1;1;1;0;05;13;
700489;960258;6506582;73;1;0;;3;0;;2;2;0;0;0;;;0;;;0;0;3;1;1;10;10;
700504;774599;6997833;59;1;0;;3;0;;1;2;0;0;8;;;0;;;1;1;0;1;0;13;07;
700505;472194;6446761;24;1;0;;3;0;;1;2;0;0;0;;;S;51;;0;0;0;1;0;51;05;
700517;624097;6929139;60;1;0;;3;0;;3;2;0;0;0;;;0;;;0;0;0;1;0;15;13;
700531;939019;6824521;54;1;0;;3;0;;1;2;0;0;8;;;0;;;0;0;0;1;0;03;16;
700538;211745;6856570;22;1;0;;3;0;;3;0;1;0;0;;;0;;;1;2;0;0;0;10;12;
700574;1027458;6306193;06;1;8;;3;0;;4;;0;0;0;;;0;;;2;2;5;;;06;13;
700575;316784;6256229;64;3;6;0;3;0;;0;0;0;0;0;;;0;;;4;1;3;1;1;02;15;
700588;537251;6220450;09;1;0;;3;0;;1;2;0;0;0;;;0;;;2;1;0;1;0;03;10;
700608;702639;6524766;63;1;0;;3;1;318;1;1;0;0;0;;;0;;;0;0;0;1;0;15;15;
700628;695623;6640729;18;1;0;;3;0;;3;2;0;0;8;;;0;;;0;0;0;2;0;03;13;
700662;877711;6317473;84;1;0;;3;0;;3;0;0;0;0;;;0;;;1;2;2;2;1;06;10;
700672;369346;6331720;40;1;0;;3;0;;1;2;0;1;4;51;;P;51;;1;1;0;1;0;51;NR;
700676;761939;6330447;30;1;0;;3;0;;3;0;0;0;0;;;0;;;0;0;4;;;10;11;
700679;466531;6245010;65;1;0;;3;0;;1;2;0;0;0;;;0;;;3;1;0;1;0;02;13;
700680;923737;6906602;57;1;0;;3;0;;1;2;0;0;0;;;0;;;0;0;0;1;0;11;12;
700714;762447;6390383;48;1;0;;3;2;18;2;2;0;0;8;;;A;64;62;0;0;0;1;0;61;06;
700720;547248;6821844;61;1;0;;3;1;285;1;1;0;0;0;;;0;;;0;0;1;1;0;03;14;
700731;701746;6892507;60;1;0;;3;0;;3;1;0;0;0;;;0;;;1;1;0;1;0;11;13;
700753;376797;6265727;64;1;0;;3;1;290;4;2;0;0;0;;;0;;;0;0;1;1;0;14;04;
700759;217564;6834538;22;1;0;;2;0;;3;0;0;0;0;;;0;;;1;2;2;1;0;02;04;
700802;858563;6765252;52;1;0;;3;0;;3;1;0;0;0;;;0;;;1;1;0;1;0;11;07;
700808;942327;6512731;73;1;0;;3;0;;2;2;1;0;7;62;61;0;;;2;1;2;1;1;09;13;
700812;479345;6828403;61;1;0;;3;0;;3;2;0;0;0;;;0;;;1;1;0;1;0;09;15;
700814;827051;6585658;71;1;0;;3;0;;3;0;0;0;0;;;0;;;0;0;2;1;0;03;15;
700815;502103;6680318;37;1;0;;3;0;;1;2;0;0;9;;;S;51;;2;1;0;1;0;51;10;
700824;952853;6806413;88;1;0;;3;0;;1;2;0;0;8;;;0;;;0;0;2;1;0;15;13;
700829;952851;6458689;73;1;8;0;3;1;100;3;0;1;0;0;;;0;;;3;2;4;;;12;16;
700876;592567;6983374;76;1;0;;3;2;302;1;2;0;0;0;;;0;;;0;0;0;2;0;09;15;
700883;568232;6941599;76;1;0;;3;0;;3;2;0;0;0;;;0;;;1;1;0;1;0;03;13;
700886;740214;6478489;43;1;0;;3;0;;1;2;0;0;0;;;0;;;0;0;2;1;0;61;15;
700890;952767;6796420;88;1;0;;3;0;;1;2;0;0;0;;;0;;;0;0;0;1;0;09;14;
700891;862087;6359564;26;1;0;;3;1;273;3;1;0;0;0;;;0;;;0;0;1;2;0;06;11;
700897;989035;6252583;83;1;0;;3;2;58;3;0;0;0;0;;;0;;;0;0;2;2;0;06;11;
700900;805956;6689756;21;1;0;;3;0;;1;0;0;0;0;;;0;;;1;1;3;1;0;03;12;
700911;632119;6455421;19;1;0;;3;2;112;1;2;0;0;9;;;P;64;52;0;0;0;1;0;64;04;
700926;889561;6651070;39;1;0;;3;0;;1;1;0;0;0;;;0;;;1;1;0;1;0;03;14;
700949;743854;6908141;02;1;0;;3;0;;3;2;0;0;0;;;0;;;0;0;0;2;0;11;12;
700957;1034584;6781721;68;1;0;;3;0;;3;2;0;0;0;;;0;;;1;1;0;2;0;21;10;
700975;993134;6264535;83;3;0;;3;0;;0;0;0;1;0;;;0;;;0;0;3;2;1;08;NR;
700985;716006;6332833;12;1;0;;3;0;;4;2;0;0;0;;;0;;;1;2;1;2;0;05;10;
700994;953352;6284857;83;1;0;;3;0;;4;1;0;0;8;;;0;;;1;1;0;1;0;06;10;
701000;649423;6255474;11;1;0;;3;0;;3;0;0;0;0;;;0;;;1;1;4;;;10;14;
701001;894939;6579082;39;1;0;;3;0;;4;0;0;0;0;;;0;;;2;2;4;;;05;AA;
701009;563436;6605865;36;1;0;;3;1;325;3;1;0;0;0;;;0;;;0;0;0;2;0;11;14;
701024;880934;6577204;01;1;0;;2;1;164;3;1;0;0;0;;;0;;;0;0;0;1;0;02;13;
701044;726887;6556534;03;1;0;;3;0;;1;2;0;0;0;;;0;;;0;0;0;1;0;03;13;
701051;495731;6876238;14;1;0;;3;0;;3;2;0;0;0;;;0;;;0;0;0;1;0;12;06;
701059;832173;6717512;21;1;0;;3;0;;3;2;0;0;8;;;0;;;1;1;0;2;0;03;15;
701063;618075;6687346;41;1;0;;3;0;;1;1;0;0;0;;;0;;;1;1;0;1;0;02;06;
701138;518215;6454372;24;1;0;;3;0;;3;0;0;0;0;;;0;;;1;1;1;1;0;10;13;
701140;936957;6237049;83;1;0;;3;0;;4;2;0;0;0;;;0;;;2;1;3;2;1;06;14;
701148;133608;6833212;29;1;0;6;2;1;250;4;0;0;0;0;;;0;;;0;0;0;1;0;25;09;
701156;772013;6340351;48;1;0;;3;0;;3;0;0;0;0;;;0;;;4;2;4;;;51;10;
701164;620164;6459518;19;1;0;;3;2;70;1;2;0;0;9;;;0;;;0;0;3;1;2;09;15;
701172;639351;6245570;11;1;0;;3;1;205;3;0;1;0;0;;;0;;;0;0;0;1;0;54;16;
701190;494242;6696371;37;1;0;;3;0;;1;2;0;0;0;;;0;;;0;0;0;1;0;51;08;
701209;1229752;6136611;2B;1;0;;3;0;;4;0;0;0;0;;;0;;;3;2;3;2;2;40;12;
701211;732676;6768323;89;1;0;;3;0;;3;2;0;0;0;;;0;;;0;0;0;1;0;11;15;
701237;977795;6570375;74;3;0;8;3;0;;0;0;0;0;0;;;0;;;4;2;2;1;0;23;06;
701241;628273;6473437;19;1;0;;3;0;;1;2;0;0;9;;;P;64;;1;1;0;1;0;64;04;
701294;965738;6678393;25;1;0;;3;0;;1;2;0;0;8;;;I;62;;2;1;1;1;0;62;09;
701298;777679;6889864;51;1;0;;3;0;;3;1;0;0;0;;;P;64;;1;2;1;1;0;56;07;
701304;965304;6280758;83;1;0;;3;0;;1;1;0;0;0;;;I;53S;;1;2;1;2;0;51;NR;
701321;614856;7019171;80;1;0;;3;0;;1;2;0;0;0;;;0;;;0;0;0;1;0;09;10;
701346;915940;6465001;38;1;8;;3;0;;4;;1;0;0;;;0;;;3;2;2;1;1;17;11;
701357;575892;6661718;36;1;0;;3;0;;1;2;0;0;0;;;P;53CO;;1;1;0;1;0;53;09;
701361;900916;6577032;01;1;0;;3;0;;3;2;0;0;0;;;0;;;0;0;0;1;0;11;NR;
701368;921671;6666782;25;1;0;;3;0;;3;2;0;0;8;;;0;;;0;0;1;1;0;22;14;
701379;485205;6328768;47;1;0;;3;0;;3;1;0;0;0;;;0;;;1;1;0;1;0;17;06;
701401;1025460;6881736;67;1;0;;3;0;;1;2;0;0;8;;;0;;;0;0;0;2;0;52;09;
701411;672637;6758836;45;1;0;;3;0;;3;2;0;0;8;;;0;;;0;0;0;2;0;02;15;
701420;522559;6496298;24;1;0;;3;1;366;1;1;0;0;0;;;0;;;0;0;0;1;0;02;13;
701422;751967;6922064;02;1;0;;3;0;;1;1;0;0;0;;;0;;;0;0;1;1;0;02;13;
701430;380481;6227738;64;1;0;;3;1;40;3;0;0;0;0;;;0;;;2;2;3;1;0;02;11;
701438;774283;6490189;63;1;0;;3;2;232;1;2;0;0;0;;;0;;;0;0;0;1;0;61;12;
701454;954368;6518622;74;1;8;;3;0;;1;;0;0;0;;;0;;;4;2;4;;;03;16;
701467;1005040;6831945;67;1;0;;3;0;;1;1;0;0;0;;;0;;;0;0;1;1;0;12;04;
701489;914062;6479004;38;1;0;;3;0;;2;1;0;0;0;;;0;;;0;0;0;2;0;61;07;
701491;811934;6687706;21;1;0;;3;0;;4;0;0;0;0;;;0;;;1;2;0;1;0;02;10;
701500;746784;6546374;03;1;0;;3;0;;1;0;0;0;0;;;0;;;1;1;4;;;09;16;
701503;889398;6864922;55;1;0;;3;0;;2;2;0;0;8;;;0;;;1;1;0;2;0;09;13;
701504;721564;6872351;02;1;0;;3;0;;3;1;0;0;0;;;0;;;0;0;0;2;0;02;14;
701518;864563;6415488;26;1;0;;3;1;205;4;1;0;0;0;;;0;;;1;1;1;1;0;05;08;
701532;726586;6402675;48;1;0;6;3;1;398;1;2;0;0;0;;;0;;;0;0;0;2;0;52;13;
701537;575476;6611760;36;1;0;;3;0;;3;1;0;0;0;;;0;;;1;1;0;1;0;02;13;
701539;808722;6427954;07;1;0;;3;0;;3;0;0;0;0;;;0;;;1;2;4;;;05;13;
701547;570331;6713726;41;1;0;;2;0;;1;0;0;1;0;;;0;;;0;0;0;1;0;17;NR;
701550;550043;6917763;76;1;0;;3;0;;1;2;0;0;9;;;0;;;0;0;0;1;0;03;16;
701556;365482;6225863;64;1;0;;3;0;;1;0;0;0;0;;;0;;;2;2;1;1;2;09;17;
701557;574892;6541823;87;1;0;;3;0;;4;2;0;0;0;;;0;;;2;1;1;1;0;10;03;
701568;515587;6378467;47;1;0;;3;1;242;1;0;0;0;0;;;0;;;0;0;1;0;0;05;12;
701570;1017902;6356225;06;3;0;6;3;0;;0;0;0;0;0;;;0;;;4;2;4;;;63;09;
701574;651560;6629109;18;1;0;;3;0;;3;2;0;0;0;;;0;;;1;1;0;1;0;02;13;
701583;558924;6543954;87;1;0;2;3;1;135;3;1;0;0;0;;;0;;;1;1;0;1;0;12;05;
701584;438294;6455033;33;1;0;;3;1;275;1;1;0;0;0;;;0;;;0;0;0;0;0;02;11;
701617;974089;6488478;73;1;0;8;3;0;;1;1;1;0;0;;;0;;;0;0;4;;;09;14;
701623;858734;6785237;52;1;0;;3;0;;3;2;0;0;0;;;0;;;1;1;0;2;0;02;16;
701632;721584;6638511;58;1;0;;3;0;;3;1;0;0;0;;;0;;;0;0;0;1;0;11;15;
701635;950286;6740481;70;1;0;;3;0;;1;2;0;0;0;;;0;;;0;0;0;1;0;03;16;
701636;746276;6486431;63;1;0;;3;0;;1;1;0;0;0;;;0;;;0;0;0;0;0;52;13;
701640;531056;6316400;82;1;0;;3;0;;3;1;0;0;0;;;0;;;1;2;1;1;0;51;12;
701644;659705;6409233;15;1;0;;3;0;;3;0;0;0;0;;;0;;;0;0;1;2;0;09;13;
701657;968889;6580444;74;1;0;;3;0;;2;0;0;0;0;;;0;;;3;2;4;;;15;12;
701658;568365;6717739;41;1;0;;3;0;;1;2;0;0;0;;;0;;;0;0;0;1;0;03;13;
701677;563885;6899658;27;1;0;;3;0;;1;2;0;0;8;;;P;09;64;0;0;0;1;0;09;AA;
701700;409308;6575166;17;1;0;;3;0;;3;2;0;0;0;;;0;;;1;1;0;1;0;21;11;
701739;920898;6576861;01;1;0;;3;0;;1;0;0;0;0;;;0;;;4;1;4;;;09;15;
701744;927398;6287078;83;1;0;;3;0;;4;1;0;1;0;;;0;;;1;2;0;1;0;05;NR;
701755;388753;6505395;17;1;0;;3;1;173;4;2;0;0;0;;;0;;;1;2;0;1;0;06;18;
701771;787851;6675920;58;1;0;;3;1;340;4;0;0;1;0;;;0;;;2;1;0;0;0;25;NR;
701787;533518;6372323;47;1;0;;3;1;326;1;1;0;0;0;;;0;;;1;1;0;1;0;52;11;
701794;996838;6808031;88;1;0;;3;0;;1;2;0;0;0;;;I;62;;0;0;2;1;1;62;06;
701810;735571;6874231;02;1;0;;3;0;;1;1;0;0;0;;;0;;;0;0;0;1;0;02;10;
701824;654617;6754991;45;1;0;;3;0;;1;2;0;0;0;;;P;53CO;;0;0;0;2;0;53;06;
701825;323472;6831681;22;2;0;;1;1;371;3;1;0;0;0;;;0;;;0;0;0;1;0;02;13;
701829;885736;6321400;84;1;0;;3;0;;4;1;0;0;0;;;0;;;1;2;2;2;1;06;10;
701850;667614;6636968;18;1;0;;3;0;;1;2;0;0;0;;;0;;;0;0;0;2;0;02;12;
701888;742179;6474476;43;1;0;;3;0;;3;0;0;0;0;;;0;;;1;1;4;;;17;12;
701893;594004;6317874;81;1;0;;3;2;60;4;2;0;0;0;;;0;;;0;0;1;1;0;10;07;
701895;708402;6378852;48;1;0;;3;0;;1;2;0;0;8;;;P;53CO;;0;0;3;1;0;53;08;
701909;923220;6846643;54;1;0;;3;0;;1;2;0;1;0;;;0;;;0;0;0;1;0;11;NR;
701910;610382;6723384;41;1;0;;3;0;;1;1;0;0;0;;;0;;;0;0;0;2;0;02;09;
701915;610466;6733376;45;1;0;;3;0;;1;2;0;0;0;;;0;;;0;0;0;2;0;02;10;
701919;503841;6890163;14;1;0;4;2;0;;4;2;0;1;3;13G;;0;;;0;0;0;0;0;13;NR;
701923;1019134;6843815;67;1;0;;3;0;;1;2;0;0;8;;;P;63;;1;1;0;2;0;63;11;
701929;397185;6315508;40;1;0;;3;0;;1;1;0;0;6;51;;0;;;0;0;0;2;0;02;05;
701937;995047;6832031;54;3;0;;3;0;;0;2;0;0;0;;;0;;;0;0;1;2;0;09;NR;
701965;543892;6298312;31;1;0;;3;0;;1;2;0;0;0;;;0;;;1;1;1;1;0;02;13;
701966;596210;6701518;41;1;0;;3;1;291;3;1;0;0;0;;;0;;;0;0;0;1;0;02;10;
701969;571512;6376003;46;1;8;;3;1;310;4;;0;0;0;;;0;;;0;0;4;;;05;11;
701971;612055;6445598;19;1;0;;3;0;;3;2;0;0;0;;;0;;;1;1;0;1;0;10;12;
701983;614563;6745334;45;1;0;;3;0;;1;2;0;0;0;;;0;;;0;0;0;2;0;02;11;
701997;766036;6342400;48;1;0;;3;0;;3;0;1;0;0;;;0;;;0;0;2;2;0;51;10;
702034;586764;6527736;87;1;0;;3;1;315;1;2;0;0;0;;;P;64;;1;1;0;1;0;64;05;
702035;973674;6324640;04;1;0;8;3;0;;4;0;0;0;0;;;0;;;0;0;4;;;05;11;
702057;630991;6559339;23;1;0;;3;0;;4;2;0;1;0;;;0;;;1;1;0;1;0;02;NR;
702062;383675;6373560;40;1;0;;3;0;;1;2;1;1;0;;;P;51;;1;1;0;1;0;51;NR;
702070;454687;6746662;72;1;0;;3;0;;1;2;0;0;0;;;P;02;;0;0;0;1;0;02;05;
702096;640729;6171640;66;1;0;5;3;0;;1;0;0;0;0;;;0;;;1;2;4;;;52;13;
702100;647680;6880969;75;1;0;;3;0;;3;2;0;0;0;;;0;;;1;1;0;1;0;10;12;
702106;972141;6378599;04;1;0;8;3;0;;1;0;0;0;0;;;0;;;4;2;5;;;52;12;
702117;947891;6346840;04;1;0;;3;0;;4;0;0;0;0;;;0;;;1;2;4;;;09;13;
702129;814926;6569775;69;1;0;;3;0;;1;2;0;0;8;;;P;64;;0;0;2;2;0;64;07;
702135;911079;6596929;39;1;0;;3;0;;2;2;0;0;8;;;0;;;0;0;1;1;0;09;16;
702142;392763;6263598;64;1;0;;3;0;;3;0;0;0;0;;;0;;;1;2;1;1;0;02;10;
702150;783148;6827855;10;1;0;;3;0;;1;1;0;0;0;;;0;;;0;0;0;1;0;02;13;
702172;828958;6457753;07;1;0;;3;0;;1;2;0;0;0;;;P;64;;3;1;1;2;0;64;03;
702173;964724;6792320;88;1;0;;3;0;;1;2;0;0;0;;;0;;;0;0;0;2;0;09;08;
702174;401279;6327462;40;1;0;;3;0;;1;2;0;0;6;51;;0;;;2;1;0;2;0;02;AA;
702202;727368;6258814;34;1;0;;3;1;80;3;0;0;0;0;;;0;;;0;0;0;2;0;05;08;
702207;792460;6747829;89;1;0;;3;0;;3;2;0;0;0;;;0;;;1;1;0;2;0;11;15;
702217;352961;6771480;35;1;0;;3;0;;1;1;0;0;0;;;0;;;0;0;0;1;0;03;13;
702220;537725;6638054;37;1;0;;3;0;;1;2;0;0;0;;;0;;;1;1;0;1;0;51;10;
702224;457178;6201135;65;1;0;;3;1;3;2;2;0;0;9;;;0;;;4;1;4;;;12;05;
702234;636764;6771130;45;1;0;;3;0;;1;2;0;1;3;03;;0;;;0;0;0;2;0;11;NR;
702273;935939;6350939;04;3;6;0;3;0;;0;0;0;0;0;;;0;;;1;1;3;1;0;54;10;
702275;421915;6407213;33;1;0;;3;0;;4;2;0;0;0;;;0;;;1;1;0;1;0;02;07;
702278;809751;6314057;30;1;3;0;3;0;;4;2;0;1;0;;;0;;;1;1;0;2;0;40;NR;
702287;930981;6239098;83;1;0;;3;0;;1;0;0;0;0;;;0;;;2;2;3;2;1;57;10;
702294;871805;6911046;55;1;0;;3;2;340;1;2;0;0;8;;;P;09;;0;0;0;2;0;09;07;
702300;917142;6604870;39;1;0;;3;0;;2;2;0;0;8;;;0;;;1;1;2;1;2;61;15;
702312;488823;6524553;16;1;0;;3;0;;4;2;0;1;0;;;0;;;0;0;0;1;0;02;NR;
702317;702192;6708622;58;1;0;;3;1;275;1;2;0;0;0;;;0;;;0;0;0;2;0;02;10;
702336;888019;6471235;38;1;0;;3;0;;1;0;0;0;0;;;0;;;0;0;0;0;0;03;AA;
702348;887956;6347355;84;3;0;;3;0;;0;0;0;0;0;;;0;;;0;0;1;1;0;54;NR;
702363;1043510;6314046;06;1;0;;3;0;;4;0;0;0;0;;;0;;;3;2;3;1;1;06;06;
702380;189632;6840759;29;1;0;6;2;1;360;4;1;0;0;0;;;0;;;0;0;0;1;0;02;10;
702396;686474;6740732;45;1;0;;3;1;372;1;2;0;0;0;;;0;;;0;0;0;2;0;17;06;
702415;839033;6467658;07;1;0;;3;0;;1;0;0;0;0;;;0;;;3;1;4;;;05;16;
702443;1222078;6172638;2B;1;0;8;3;0;;4;2;1;0;8;;;0;;;0;0;3;2;0;10;12;
702480;877698;6899003;55;1;0;;3;1;354;3;2;0;0;0;;;0;;;1;1;0;2;0;52;11;
702489;293250;6801946;22;1;0;;3;2;215;3;2;0;0;9;;;P;64;;0;0;0;1;0;64;09;
702492;549817;6410151;24;1;0;;2;1;357;1;0;0;0;0;;;0;;;0;0;1;1;0;05;10;
702497;694613;6520837;63;1;0;;3;0;;3;2;0;0;0;;;0;;;3;1;0;1;0;12;13;
702521;926287;6738689;70;1;0;;3;0;;1;2;0;0;8;;;P;62;;1;1;0;1;0;62;08;
702529;985453;6300563;83;1;8;;3;0;;4;;0;0;0;;;0;;;3;2;4;;;23;NR;
702541;653352;6247450;11;3;0;;3;0;;0;0;0;0;0;;;0;;;0;0;0;2;0;06;09;
702547;590694;6519710;87;1;0;;3;0;;3;1;1;0;0;;;0;;;1;1;2;1;0;11;15;
702555;899896;6690951;70;1;0;;3;0;;1;2;0;0;8;;;0;;;0;0;0;1;0;14;11;
702562;653659;6878920;75;1;0;;3;1;166;3;1;0;0;0;;;0;;;0;0;0;1;0;17;08;
702573;723693;6296805;34;1;0;;3;0;;1;1;0;0;0;;;P;53CO;;0;0;2;2;1;53;08;
702588;763818;6316445;30;1;0;;3;1;386;4;0;0;0;0;;;0;;;1;2;4;;;06;07;
702597;726971;6566524;03;1;0;;3;2;360;3;2;0;0;0;;;0;;;0;0;0;1;0;03;13;
702614;780844;6791898;10;1;0;;3;1;0;1;2;0;0;0;;;P;13B;;0;0;0;1;0;13;07;
702627;789827;6438105;43;1;0;;3;0;;1;1;0;0;0;;;0;;;2;1;1;1;0;12;12;
702638;761890;6678140;58;1;0;;3;0;;3;1;0;0;0;;;0;;;1;2;1;1;0;03;14;
702639;660628;6519125;63;1;0;;3;0;;1;2;0;0;0;;;0;;;2;1;0;1;0;02;13;
702659;408893;6281447;40;1;0;;3;0;;3;2;0;0;0;;;0;;;1;1;0;1;0;17;09;
702660;715838;6904380;02;1;0;;3;0;;3;2;0;0;9;;;0;;;1;1;1;1;0;11;15;
702669;723971;6684456;58;1;0;;3;0;;1;2;0;0;0;;;B;64;;0;0;0;2;0;64;09;
702686;747884;6676260;58;1;0;;3;0;;3;2;0;0;8;;;0;;;1;1;0;1;0;03;14;
702691;924323;6742703;70;1;0;;3;0;;3;1;0;0;0;;;0;;;1;1;2;1;0;17;13;
702697;551344;6833803;28;1;0;;3;0;;1;2;0;0;0;;;0;;;1;1;0;1;0;03;16;
702734;975034;6250706;83;1;0;;3;0;;4;0;0;0;0;;;0;;;3;1;0;2;2;08;13;
702743;909029;6590951;39;1;0;;3;0;;3;0;0;0;0;;;0;;;2;1;1;1;0;02;14;
702747;432810;6517023;17;1;0;;3;1;247;1;0;0;0;0;;;0;;;0;0;0;1;0;17;AA;
702771;618952;6553445;23;1;0;;3;0;;1;1;0;0;0;;;0;;;1;1;1;1;0;09;13;
702808;611009;6559506;23;1;0;;3;0;;3;1;0;0;0;;;0;;;2;1;0;2;0;02;13;
702813;666153;6700932;18;1;0;;3;1;274;3;2;0;0;8;;;0;;;0;0;0;2;0;56;09;
702830;770851;6791983;10;1;0;;3;0;;3;1;0;0;0;;;0;;;2;1;1;1;0;03;09;
702834;835078;6589586;71;1;0;;3;0;;1;2;0;0;0;;;P;65;53CO;2;1;0;1;0;65;07;
702845;633665;6401459;15;1;0;;3;0;;3;0;0;0;0;;;0;;;1;2;1;2;0;09;14;
702848;862916;6573361;01;1;0;;2;1;35;3;2;0;0;8;;;0;;;0;0;0;1;0;17;08;
702853;577955;6310016;31;1;0;;2;0;;4;0;0;0;0;;;0;;;0;0;0;1;0;05;12;
702868;571629;6629778;36;1;0;;3;0;;1;2;0;0;0;;;0;;;2;1;0;1;0;52;12;
702873;452969;6780653;53;1;0;;3;0;;1;2;0;0;9;;;0;;;1;1;0;1;0;03;15;
702885;746481;6392516;48;1;0;;3;2;300;1;2;0;0;0;;;P;62;;0;0;0;1;0;62;06;
702889;394239;6443407;33;1;0;;3;0;;1;2;0;0;0;;;0;;;2;1;0;1;0;51;09;
702902;880855;6801037;52;1;0;;3;0;;1;2;0;0;0;;;P;62;52;1;1;0;1;0;52;08;
