idp;a;espar;ori;veget;datemort;c13;v;w
700024;5;12V;0;C;2;62;0.218;88.40
700024;6;12V;0;C;2;58;0.186;88.40
700024;8;12V;0;C;2;66;0.252;88.39
700024;9;12V;0;C;2;87;0.474;39.29
700024;19;03;1;5;2;50;0.141;88.40
700024;20;52;1;5;2;24;0.017;88.42
700074;9;10;0;5;2;110;0.580;39.28
700074;14;10;0;5;2;177;1.431;14.14
700099;18;28;1;5;1;38;0.033;88.41
700099;20;28;1;5;1;26;0.017;88.42
700099;21;28;1;5;1;46;0.046;88.41
700099;22;28;1;5;1;54;0.061;88.40
700099;23;28;1;5;1;42;0.039;88.41
700124;18;22M;0;5;1;25;0.013;88.42
700126;10;15S;0;5;1;26;0.019;88.42
700126;16;15S;0;5;1;29;0.028;88.41
700126;17;15S;0;5;1;27;0.022;88.41
700135;3;52;1;A;;73;0.211;39.29
700135;12;52;1;5;2;47;0.068;88.41
700157;24;12V;1;C;1;82;0.369;39.29
700178;17;62;1;C;2;105;0.812;39.28
700210;5;62;1;C;2;50;0.118;88.40
700210;6;62;1;C;2;34;0.037;88.41
700210;11;62;1;5;2;30;0.024;88.41
700210;20;62;1;C;1;70;0.294;88.39
700210;22;62;1;5;1;39;0.057;88.41
700210;27;62;1;C;2;42;0.071;88.41
700220;3;03;1;C;2;31;0.025;88.41
700220;10;09;0;C;2;41;0.063;88.41
700220;17;03;0;5;1;32;0.028;88.41
700282;10;25R;1;A;;50;0.086;88.40
700323;6;13G;0;C;2;52;0.152;88.40
700423;18;13B;0;C;2;73;0.318;39.29
700450;7;64;1;5;2;32;0.031;88.41
700450;10;03;1;5;2;34;0.045;88.41
700450;13;03;1;5;2;24;0.010;88.42
700474;2;10;0;5;1;27;0.020;88.41
700474;10;10;0;5;1;34;0.041;88.41
700474;12;10;0;5;1;34;0.041;88.41
700474;22;10;0;5;1;30;0.028;88.41
700474;23;10;0;5;1;26;0.017;100.01
700474;24;10;0;5;1;35;0.045;92.88
700474;25;10;0;5;1;37;0.052;88.41
700474;26;10;0;5;1;28;0.022;88.41
700474;27;10;0;5;1;42;0.073;91.94
700474;31;10;0;5;1;32;0.034;88.41
700474;32;10;0;5;1;24;0.012;94.20
700538;4;12V;1;C;2;171;1.969;14.14
700588;22;41;0;5;2;32;0.031;88.41
700588;24;24;1;5;2;25;0.017;88.42
700588;25;24;1;C;2;38;0.068;88.41
700676;5;10;1;5;2;268;2.799;14.14
700679;9;02;1;C;1;87;0.498;39.29
700679;16;02;1;5;2;87;0.498;40.01
700720;6;03;0;5;2;27;0.019;88.41
700814;12;11;0;C;2;33;0.038;88.41
700824;6;14;1;C;2;29;0.026;88.41
700829;17;62;1;A;;49;0.118;88.40
700883;11;12V;0;C;2;35;0.048;88.41
700897;8;08S;1;5;2;154;0.766;14.15
700897;16;08S;1;5;2;39;0.033;88.41
700900;4;17C;0;5;2;40;0.080;88.41
700957;14;14;0;5;2;24;0.012;88.42
700957;16;14;0;5;2;29;0.026;88.41
700957;21;14;0;5;2;31;0.033;88.41
701000;9;10;0;5;1;66;0.194;88.39
701009;9;10;0;5;2;24;0.011;88.42
701024;20;02;1;5;2;77;0.349;39.29
701051;14;12V;0;C;2;30;0.030;88.41
701138;2;10;0;5;2;26;0.015;88.42
701138;4;10;1;5;2;232;2.500;14.14
701138;9;10;0;5;2;29;0.023;88.41
701138;10;24;1;C;2;115;1.080;39.28
701140;13;57A;1;5;2;60;0.125;88.40
701148;7;25M;1;5;1;24;0.014;88.42
701156;4;10;0;5;1;25;0.013;88.42
701172;1;54;1;A;;148;1.557;16.90
701209;25;40;0;5;1;27;0.015;88.41
701211;6;11;1;5;1;28;0.023;88.41
701211;7;11;1;5;1;25;0.015;88.42
701321;7;02;1;5;1;61;0.213;88.40
701379;6;17C;0;5;1;24;0.013;88.42
701379;11;17C;1;5;1;27;0.021;88.41
701420;10;10;0;5;2;34;0.039;105.19
701438;20;61;1;C;2;47;0.107;88.41
701438;21;61;1;C;2;49;0.120;88.40
701454;11;03;0;5;2;25;0.008;88.42
701467;9;62;1;C;2;74;0.367;39.29
701491;1;02;0;5;2;27;0.018;155.85
701491;3;17C;0;5;2;30;0.030;122.73
701491;6;17C;0;5;2;40;0.070;114.72
701491;9;17C;0;5;2;28;0.024;103.54
701491;12;17C;0;5;2;37;0.057;104.86
701491;17;02;0;5;2;24;0.011;88.42
701500;10;09;1;C;2;40;0.075;88.41
701504;13;11;0;5;1;33;0.038;88.41
701532;2;52;1;5;1;48;0.072;88.41
701583;1;10;0;5;1;133;0.925;18.67
701617;6;12V;1;A;;119;0.847;14.14
701636;5;52;1;5;2;71;0.197;39.29
701636;7;52;1;C;2;81;0.275;39.29
701636;8;52;1;C;2;45;0.061;88.41
701636;10;52;1;C;2;38;0.039;88.41
701636;16;52;1;C;1;74;0.219;39.29
701636;17;52;1;5;1;72;0.204;39.29
701636;19;52;1;5;1;60;0.128;88.40
701636;20;52;1;C;2;34;0.029;88.41
701636;22;52;1;C;2;33;0.027;88.41
701644;20;10;0;5;2;30;0.022;88.41
701739;8;62;1;5;1;81;0.457;39.29
701755;19;06;0;5;1;27;0.013;88.41
701755;21;06;0;5;2;24;0.009;88.42
701850;14;18C;1;5;1;33;0.034;88.41
701910;2;12V;1;5;1;32;0.038;88.41
701965;1;05;1;5;2;33;0.033;88.41
701965;9;05;1;5;1;43;0.070;88.41
701966;7;02;0;5;1;27;0.017;88.41
701966;11;02;1;5;2;195;2.840;18.29
701997;1;10;0;5;1;32;0.032;88.41
701997;17;10;0;5;2;36;0.046;88.41
701997;18;10;0;5;2;33;0.036;88.41
701997;20;10;0;5;2;25;0.013;88.42
701997;21;10;0;5;2;28;0.020;88.41
701997;22;10;0;5;2;27;0.018;88.41
701997;28;10;0;5;2;24;0.011;88.42
701997;31;10;0;5;2;26;0.015;88.42
702070;16;02;1;5;1;27;0.016;88.41
702096;5;52;1;5;2;132;0.956;14.14
702096;18;52;1;5;2;89;0.350;39.29
702106;4;52;1;5;2;36;0.034;88.41
702117;2;05;1;C;2;27;0.013;88.41
702117;8;09;0;5;1;28;0.018;88.41
702117;11;09;0;5;1;25;0.012;88.42
702129;4;62;1;C;1;82;0.471;39.29
702207;5;11;0;C;2;34;0.042;88.41
702207;8;11;0;5;2;32;0.035;88.41
702294;1;09;1;5;2;24;0.013;88.42
702300;5;62;1;A;;31;0.026;88.41
702415;4;10;0;5;1;66;0.232;88.39
702415;6;10;0;5;2;64;0.216;88.39
702415;16;11;1;5;2;49;0.110;88.40
702443;5;10;0;5;2;29;0.021;88.41
702443;22;10;0;5;1;257;2.047;14.14
702443;24;40;0;A;;58;0.095;88.40
702480;11;52;1;C;2;101;0.639;39.28
702489;3;12V;0;5;1;38;0.060;88.41
702489;8;12V;1;5;1;44;0.090;88.41
702489;15;12V;1;5;2;41;0.074;116.81
702529;2;52;1;C;2;87;0.330;39.29
702547;5;11;0;5;1;27;0.020;88.41
702547;7;11;0;5;2;26;0.017;88.42
702547;8;11;0;5;2;25;0.015;88.42
702547;9;02;1;A;;162;1.886;14.14
702547;11;11;0;5;2;26;0.017;88.42
702547;18;11;1;A;;131;1.029;14.14
702555;13;14;0;5;2;25;0.015;88.42
702555;15;14;0;5;2;30;0.030;88.41
702627;19;62;1;C;2;94;0.630;39.29
702627;23;12V;1;C;1;52;0.124;88.40
702669;5;64;1;5;1;31;0.028;88.41
702697;6;11;0;5;2;46;0.094;88.41
702734;3;08S;1;5;2;118;0.414;14.88
702830;17;25M;0;5;1;31;0.027;88.41
702830;18;25M;0;5;1;38;0.045;88.41
702830;25;25M;1;5;1;33;0.032;88.41
702830;29;25M;0;5;1;39;0.048;88.41
702830;33;25M;0;5;1;29;0.023;88.41
702845;4;61;1;5;1;27;0.019;88.41
702868;4;02;1;5;1;30;0.025;88.41
702902;12;52;1;5;1;29;0.028;88.41
702909;6;10;0;5;2;37;0.050;88.41
702909;8;10;0;5;2;27;0.018;88.41
702910;3;05;0;5;1;42;0.049;88.41
702910;6;05;0;5;1;29;0.015;88.41
702910;14;05;1;5;1;33;0.024;88.41
702911;6;10;0;5;1;90;0.421;39.29
702912;6;25C;0;5;2;27;0.019;88.41
702912;9;25C;0;5;2;26;0.017;88.42
702912;11;25C;0;5;1;35;0.037;88.41
702912;14;25C;0;5;1;33;0.032;88.41
702983;17;64;1;5;2;37;0.050;88.41
702990;20;10;0;5;1;26;0.017;88.42
702990;26;10;0;5;1;28;0.022;88.41
702990;29;10;0;5;1;31;0.031;88.41
703005;23;05;0;5;2;43;0.070;88.41
703092;6;49SN;0;5;1;25;0.011;94.96
703129;10;52;1;A;;88;0.454;39.29
703146;1;06;0;5;1;34;0.025;88.41
703146;3;06;0;5;1;33;0.023;88.41
703146;5;06;0;5;1;24;0.009;88.42
703146;6;06;0;5;1;25;0.010;88.42
703146;7;06;0;5;1;26;0.012;88.42
703146;8;06;0;5;1;25;0.010;88.42
703146;9;06;0;5;1;29;0.016;88.41
703146;10;06;0;5;1;33;0.023;88.41
703146;11;06;0;5;1;30;0.018;88.41
703146;12;06;0;5;1;24;0.009;88.42
703146;13;06;0;5;1;30;0.018;88.41
703146;14;06;0;5;1;31;0.020;88.41
703146;16;06;0;5;1;26;0.012;88.42
703146;26;06;0;5;1;24;0.009;88.42
703312;10;02;1;5;2;41;0.073;88.41
703312;12;02;1;5;2;39;0.063;88.41
703343;16;40;0;5;1;24;0.011;88.42
703451;3;11;0;5;1;25;0.015;88.42
703510;1;09;0;C;1;63;0.195;88.39
703568;10;64;1;5;1;30;0.024;88.41
703569;15;10;0;C;1;54;0.135;88.40
703574;1;18C;1;5;2;36;0.044;118.47
703574;2;18C;0;5;2;29;0.023;120.29
703574;3;18C;0;5;2;27;0.019;117.96
703574;13;18C;0;5;2;26;0.016;117.32
703580;14;17C;1;5;1;128;1.257;14.14
703648;5;02;1;C;2;127;1.167;14.14
703759;2;03;0;5;2;32;0.035;88.41
703759;4;03;0;5;2;45;0.097;88.41
703759;10;03;1;5;2;27;0.019;88.41
703762;1;11;0;A;;51;0.119;118.42
703762;2;11;0;A;;76;0.300;67.90
703762;3;11;1;A;;77;0.309;73.66
703762;4;31;0;5;1;25;0.014;179.74
703762;9;31;0;5;1;24;0.013;90.81
703803;6;24;1;5;2;28;0.026;88.41
703803;15;24;0;5;2;30;0.033;88.41
703803;18;24;0;5;2;30;0.033;88.41
703859;1;10;0;5;2;212;2.154;14.14
703859;3;10;0;5;2;49;0.106;88.40
703859;4;10;0;5;2;26;0.015;88.42
703859;5;10;0;5;2;119;0.744;14.14
703859;9;10;0;5;2;28;0.020;88.41
703859;11;10;0;5;1;61;0.179;88.40
703859;14;10;0;5;2;27;0.018;88.41
703859;15;10;0;5;2;25;0.013;88.42
703859;16;10;0;5;1;35;0.043;88.41
703859;20;10;0;5;2;27;0.018;88.41
703859;25;10;0;5;1;60;0.172;88.40
703888;1;17O;0;5;1;24;0.012;95.22
703953;13;11;0;5;1;25;0.015;88.42
703953;23;11;0;C;2;25;0.015;88.42
703965;1;10;0;5;1;25;0.015;88.42
703965;2;10;0;5;1;24;0.012;96.81
703965;3;10;0;5;1;25;0.015;96.99
703965;4;10;0;5;1;28;0.022;88.41
703965;5;10;0;5;1;24;0.012;88.42
703965;6;10;0;5;1;26;0.017;88.42
703969;8;49AM;0;5;1;35;0.027;88.41
703969;11;49AM;0;5;1;45;0.054;88.41
703969;12;49AM;0;5;1;38;0.034;88.41
704063;2;03;1;5;1;152;1.931;19.84
704063;3;03;1;5;1;174;2.598;20.83
704063;12;03;1;5;2;84;0.507;41.30
704063;16;03;1;5;2;77;0.413;39.29
704098;4;03;1;C;1;81;0.374;39.29
704098;16;03;0;5;2;25;0.009;88.42
704102;2;62;1;5;2;29;0.020;88.41
704191;2;58;1;5;1;112;0.676;39.28
704191;4;58;1;5;2;39;0.050;88.41
704191;7;58;1;5;2;37;0.043;88.41
704191;9;58;1;5;2;85;0.359;39.29
704191;13;58;1;5;2;66;0.196;88.39
704193;20;05;0;5;2;31;0.026;88.41
704205;1;11;1;A;;60;0.182;88.40
704230;8;52;1;5;2;37;0.036;100.44
704241;1;10;0;5;1;26;0.017;88.42
704241;4;10;0;5;1;24;0.012;88.42
704241;7;10;0;5;1;25;0.015;88.42
704241;9;10;0;5;1;27;0.020;88.41
704241;25;10;0;5;1;33;0.038;88.41
704241;33;10;0;5;1;27;0.020;88.41
704241;35;10;0;5;1;24;0.012;88.42
704241;36;10;0;5;1;25;0.015;88.42
704241;41;10;0;5;1;28;0.022;88.41
704248;9;02;1;5;1;97;0.597;39.29
704248;10;02;1;5;1;50;0.120;88.40
704257;1;02;0;5;1;28;0.019;132.13
704295;1;52;1;C;1;56;0.107;88.40
704295;3;52;1;5;2;35;0.031;88.41
704295;6;52;1;5;2;32;0.025;88.41
704295;7;52;1;C;1;41;0.048;88.41
704295;9;52;1;C;1;63;0.145;88.39
704295;10;52;1;C;1;78;0.250;39.29
704295;11;52;1;C;1;44;0.057;88.41
704295;16;52;1;C;1;65;0.157;88.39
704299;6;12V;1;C;2;57;0.172;88.40
704299;24;10;0;5;1;26;0.015;88.42
704328;10;05;0;5;2;27;0.018;88.41
704328;17;05;0;5;2;25;0.014;88.42
704341;2;10;0;5;1;26;0.015;88.42
704341;3;10;0;5;1;28;0.020;88.41
704455;1;02;1;5;2;30;0.026;88.41
704455;16;10;0;5;2;152;1.192;14.15
704455;17;10;0;5;2;124;0.807;14.26
704471;9;11;0;A;;40;0.065;88.41
704471;11;11;0;A;;32;0.035;88.41
704564;12;10;0;5;2;56;0.146;88.40
704565;4;64;1;5;1;122;1.286;14.14
704565;13;64;1;5;1;148;2.091;24.41
704565;19;64;1;5;1;126;1.395;14.20
704591;6;02;1;5;2;83;0.416;39.29
704672;6;03;1;5;2;47;0.103;88.41
704672;21;03;0;5;1;44;0.085;88.41
704692;6;03;1;5;2;34;0.043;88.41
704709;6;11;0;5;2;36;0.049;88.51
704709;13;02;0;5;2;29;0.023;94.27
704711;10;25M;1;5;2;90;0.316;39.29
704711;14;52;1;A;;92;0.381;39.29
704737;2;12V;1;C;2;40;0.070;88.41
704767;9;02;1;5;1;134;1.314;22.80
704780;2;31;0;5;2;32;0.026;115.80
704780;3;31;0;5;2;34;0.030;109.85
704816;9;13G;0;5;2;45;0.082;88.41
704855;18;05;0;5;1;31;0.028;88.41
704990;10;06;0;5;1;41;0.041;88.41
704990;11;06;0;5;1;26;0.012;88.42
704990;12;06;0;5;1;31;0.020;88.41
704990;13;06;0;5;1;26;0.012;88.42
704990;14;06;0;5;1;32;0.021;88.41
704990;21;06;0;5;2;31;0.020;88.41
704990;25;06;0;5;1;27;0.013;88.41
705029;2;49AM;0;5;1;27;0.014;88.41
705029;3;49AM;0;5;1;29;0.017;88.41
705071;1;07;0;C;2;28;0.018;88.41
705075;6;52;1;C;2;47;0.068;88.41
705075;9;62;1;C;2;138;1.682;14.14
705081;3;31;0;5;1;24;0.013;88.42
705140;5;52;1;C;2;128;1.153;16.02
705147;9;53CO;1;5;1;44;0.076;88.41
705222;8;11;0;5;1;24;0.012;88.42
705222;11;02;1;5;2;37;0.052;88.41
705226;4;09;1;C;2;161;2.133;14.14
705334;4;25M;0;5;2;25;0.015;88.42
705413;1;12V;1;5;1;55;0.157;88.40
705427;2;14;0;5;2;28;0.023;88.41
705427;7;14;0;5;2;25;0.015;88.42
705427;8;14;0;5;2;43;0.087;88.41
705457;2;09;1;5;2;93;0.368;39.29
705457;21;05;0;5;2;28;0.014;88.41
705509;3;02;1;5;2;27;0.017;88.41
705511;11;24;1;5;1;41;0.084;88.41
705624;2;02;1;5;1;238;4.535;14.14
705657;4;61;1;C;2;91;0.592;39.29
705657;9;61;1;C;2;76;0.372;39.29
705730;4;14;1;5;2;94;0.577;40.81
705741;7;17C;1;5;2;81;0.347;39.29
705766;7;09;0;5;1;96;0.631;45.28
705774;34;03;1;5;2;26;0.011;88.42
705806;1;14;0;5;2;65;0.247;88.39
705806;2;33N;0;A;;190;2.997;14.14
705806;15;14;0;5;1;91;0.536;39.29
705806;17;14;0;5;2;52;0.143;88.40
705840;1;22M;0;5;2;42;0.078;123.45
705840;2;22M;0;5;2;28;0.021;126.27
705867;11;09;0;5;1;37;0.059;88.41
705867;14;10;0;5;1;37;0.050;88.41
705867;15;10;0;5;2;27;0.018;88.41
705867;18;10;0;5;2;35;0.043;88.41
705867;19;10;0;C;2;34;0.039;88.41
705867;23;10;0;C;1;46;0.090;88.41
705867;24;10;0;5;2;26;0.015;88.42
705882;12;11;0;5;2;29;0.025;88.41
705955;10;11;0;5;2;28;0.023;88.41
706015;1;10;1;5;2;152;1.192;14.14
706016;16;61;1;5;1;25;0.012;88.42
706031;7;11;0;C;2;26;0.017;88.42
706052;1;51;1;5;1;30;0.021;88.41
706052;2;51;1;5;1;54;0.129;88.40
706052;3;51;1;5;1;40;0.054;88.41
706052;4;51;1;5;1;38;0.046;88.41
706052;5;51;1;5;1;37;0.042;88.41
706052;6;51;1;5;1;32;0.026;88.41
706052;7;51;1;5;1;36;0.039;88.41
706052;8;51;1;5;1;37;0.042;88.41
706052;9;51;1;5;1;43;0.067;88.41
706052;10;51;1;5;1;44;0.072;88.41
706052;11;51;1;5;1;43;0.067;88.41
706052;12;51;1;5;1;39;0.050;88.41
706052;14;51;1;5;1;46;0.082;88.41
706052;15;51;1;5;1;51;0.110;88.40
706058;4;52;1;5;1;137;1.051;14.14
706061;14;62;1;5;2;45;0.092;88.41
706061;30;62;1;5;2;62;0.227;88.40
706061;31;62;1;C;2;77;0.401;39.29
706061;33;62;1;C;2;66;0.268;88.39
706120;6;52;1;5;2;100;0.471;39.29
706168;2;63;1;5;2;132;1.177;14.14
706168;4;63;1;5;2;29;0.025;88.41
706190;2;23A;1;5;2;43;0.059;89.16
706190;3;23A;1;5;2;52;0.093;89.82
706190;4;23A;1;5;2;33;0.031;90.02
706229;9;52;1;C;2;125;1.087;14.14
706240;2;18C;1;5;2;61;0.176;88.40
706277;9;25M;1;A;;36;0.040;88.41
706286;9;51;1;5;1;32;0.026;88.41
706286;13;51;1;5;1;34;0.032;88.41
706286;20;51;1;5;1;26;0.012;88.42
706411;3;52;1;C;1;32;0.036;88.41
706411;4;52;1;5;1;36;0.048;88.41
706411;12;52;1;5;1;46;0.090;88.41
706478;4;10;0;5;2;24;0.008;88.42
706478;5;10;0;5;2;80;0.357;39.29
706553;9;02;0;5;1;26;0.013;88.42
706553;11;02;1;5;1;61;0.213;88.40
706577;1;52;1;C;2;41;0.067;88.41
706600;9;62;1;5;2;80;0.442;39.29
706600;10;62;1;5;2;73;0.350;39.29
706600;17;62;1;C;2;52;0.140;88.40
706636;7;52;1;C;1;78;0.250;39.29
706679;16;25M;0;C;2;160;1.062;14.53
706693;3;10;0;5;2;41;0.069;88.41
706723;3;05;1;5;2;24;0.009;88.42
706723;9;05;1;5;2;29;0.015;88.41
706723;11;05;1;5;2;29;0.015;88.41
706723;13;05;1;5;2;42;0.042;88.41
706723;15;05;1;5;2;26;0.011;88.42
706723;16;05;1;5;2;35;0.026;88.41
706723;17;05;1;5;2;40;0.037;88.41
706723;18;05;1;5;2;36;0.028;88.41
706723;20;05;1;5;1;64;0.122;88.39
706723;23;05;1;5;2;26;0.011;88.42
706723;26;05;1;5;1;27;0.013;88.41
706733;2;05;0;5;1;28;0.013;88.41
706786;2;06;1;5;2;24;0.009;88.42
706786;5;06;1;5;2;25;0.010;88.42
706789;2;24;1;C;1;40;0.079;88.41
706789;3;24;1;C;1;89;0.590;39.29
706789;4;24;1;5;2;27;0.023;88.41
706789;6;24;1;5;2;32;0.041;88.41
706789;18;24;1;5;1;27;0.023;88.41
706867;5;57A;1;C;2;83;0.270;39.29
706878;14;12V;1;C;1;39;0.068;88.41
706986;1;51;1;C;2;99;0.619;39.29
707011;5;03;0;5;2;37;0.056;88.41
707011;13;03;0;C;2;35;0.047;88.41
707012;5;14;1;5;2;167;2.006;14.14
707013;14;02;0;5;2;27;0.016;88.41
707025;2;52;1;5;1;67;0.170;88.39
707025;8;69JC;1;5;1;29;0.016;88.41
707025;9;52;1;5;2;40;0.045;88.41
707025;18;52;1;5;1;94;0.402;39.29
707043;6;53CO;1;A;;71;0.239;39.29
707048;5;10;0;5;2;25;0.013;88.42
707063;3;52;1;5;2;79;0.258;39.29
707063;4;52;1;5;2;72;0.204;39.29
707072;1;04;1;C;1;33;0.042;181.88
707072;7;04;0;5;1;32;0.038;94.02
707072;8;04;0;5;1;30;0.031;92.90
707091;2;10;0;5;2;38;0.056;90.85
707091;6;10;0;5;2;26;0.017;113.20
707091;8;10;0;5;2;29;0.025;117.32
707091;15;10;0;5;2;27;0.020;137.01
707091;21;10;0;5;2;24;0.012;91.40
707091;23;10;0;5;2;27;0.020;92.54
707091;25;10;0;5;2;29;0.025;88.79
707091;26;10;0;5;2;25;0.015;88.42
707091;28;10;0;5;2;26;0.017;88.42
707091;32;10;0;5;2;25;0.015;89.13
707137;4;25M;1;C;1;48;0.078;88.41
707148;2;52;1;A;;107;0.559;39.28
707148;6;52;1;C;1;50;0.080;88.40
707148;7;52;1;C;1;72;0.204;39.29
707184;8;03;0;5;2;33;0.039;88.41
707184;11;02;0;C;2;41;0.070;88.41
707184;22;02;0;5;2;29;0.023;88.41
707241;8;25C;0;C;2;38;0.045;88.41
707241;9;25C;0;C;2;44;0.064;88.41
707309;5;11;0;5;2;26;0.017;88.42
707309;8;11;1;C;2;31;0.032;88.41
707309;12;31;0;5;2;25;0.014;88.42
707329;7;03;1;5;1;28;0.022;88.41
707329;8;11;1;5;1;27;0.020;88.41
707347;11;64;1;5;1;108;0.943;39.28
707433;16;40;0;5;1;25;0.012;88.42
707433;31;40;0;5;2;25;0.012;88.42
707433;35;40;0;C;2;26;0.013;88.42
707433;41;40;0;C;2;31;0.020;88.41
707441;2;05;1;5;1;26;0.016;88.42
707441;10;52;1;5;2;92;0.507;39.29
707469;2;33G;1;C;2;124;1.006;19.69
707469;4;33G;1;C;2;156;1.657;20.89
707469;5;13G;0;5;1;63;0.258;88.39
707469;6;33G;1;5;1;155;1.634;30.58
707469;11;33G;1;5;2;145;1.414;14.14
707488;7;10;0;5;1;25;0.011;88.42
707530;13;09;1;5;2;24;0.013;88.42
707599;24;40;0;5;1;29;0.017;88.41
707676;12;05;1;5;2;42;0.061;88.41
707688;1;10;0;5;2;26;0.015;88.42
707688;2;10;0;5;2;76;0.293;39.29
707688;3;10;0;5;2;31;0.029;88.41
707688;7;10;0;5;2;27;0.018;88.41
707688;9;10;0;5;2;30;0.026;88.41
707722;2;69JC;1;5;2;41;0.035;88.41
707722;3;69JC;1;5;2;36;0.026;88.41
707722;5;69JC;1;5;2;24;0.010;88.42
707722;8;69JC;1;5;2;24;0.010;103.85
707722;19;49PM;0;5;1;29;0.017;88.41
707722;20;49PM;0;5;1;25;0.012;88.42
707727;3;21C;0;5;1;43;0.071;88.41
707727;4;21C;0;5;2;36;0.045;88.41
707727;7;21C;0;5;1;43;0.071;88.41
707736;2;52;1;5;1;44;0.081;88.41
707803;8;52;1;5;1;81;0.275;39.29
707803;9;52;1;5;2;44;0.057;88.41
707803;11;52;1;C;2;43;0.054;88.41
707803;12;52;1;C;2;36;0.034;88.41
707803;14;52;1;C;1;39;0.042;88.41
707972;3;02;1;C;2;50;0.112;88.40
707972;7;02;0;5;2;24;0.008;88.42
707972;14;02;0;5;2;31;0.026;88.41
708024;6;02;1;5;1;31;0.029;88.41
708024;13;11;0;5;1;28;0.023;88.41
708024;14;11;0;5;1;25;0.015;88.42
708024;16;11;0;5;1;35;0.045;88.41
708065;1;14;1;C;2;37;0.057;88.41
708065;7;18C;1;5;1;62;0.183;101.84
708065;8;18C;1;5;1;51;0.111;109.19
708065;11;18C;1;5;2;34;0.037;112.18
708065;13;14;1;5;2;43;0.087;117.00
708065;14;18C;1;5;2;36;0.044;109.07
708065;23;14;0;C;2;35;0.049;98.62
708065;24;14;0;C;2;26;0.017;90.54
708163;7;02;1;5;1;42;0.075;88.41
708163;12;05;1;5;2;28;0.019;88.41
708201;5;52;1;5;1;31;0.023;88.41
708201;6;52;1;C;1;67;0.170;88.39
708259;15;49PM;0;5;1;45;0.044;113.38
708335;6;10;0;C;2;34;0.033;88.41
708335;7;10;0;5;2;30;0.021;88.41
708335;10;10;0;5;2;38;0.046;88.41
708335;12;10;0;5;2;34;0.033;88.41
708335;14;10;0;5;2;25;0.009;88.42
708335;25;10;0;5;2;30;0.021;88.41
708369;1;08S;1;C;2;92;0.234;39.29
708369;4;08S;1;5;2;79;0.166;39.29
708369;6;08S;1;C;2;89;0.217;39.29
708369;7;08S;1;C;2;63;0.099;88.39
708383;3;10;0;5;1;33;0.036;88.41
708383;4;10;0;5;1;32;0.032;88.41
708383;6;10;0;5;1;37;0.050;88.41
708383;12;10;0;C;2;280;3.337;14.13
708421;3;22M;1;5;1;27;0.019;88.41
708421;4;03;0;5;1;30;0.028;88.41
708421;10;14;1;5;2;27;0.020;88.41
708421;11;03;1;5;1;46;0.103;88.41
708424;9;02;1;5;2;137;1.379;14.14
708430;4;12V;0;5;1;24;0.009;88.42
708432;3;23PM;1;C;2;64;0.152;88.39
708432;7;23PM;1;C;2;77;0.234;53.69
708485;14;02;0;5;2;32;0.033;88.41
708485;16;02;0;5;2;30;0.025;88.41
708494;12;10;0;5;1;28;0.020;88.41
708531;5;62;1;5;1;45;0.092;88.41
708531;21;62;1;5;2;77;0.401;39.29
708571;2;10;0;5;2;26;0.015;88.42
708571;3;10;0;5;2;26;0.015;88.42
708571;7;10;0;5;2;25;0.013;88.42
708571;9;03;0;5;1;28;0.022;88.41
708571;11;10;0;5;2;27;0.018;88.41
708571;12;10;0;5;2;29;0.023;88.41
708571;14;10;0;5;2;30;0.026;88.41
708571;15;10;0;5;2;34;0.039;88.41
708571;18;10;0;5;2;26;0.015;88.42
708571;19;10;0;5;2;33;0.036;88.41
708571;24;10;0;5;2;24;0.011;88.42
708571;26;10;0;5;2;25;0.013;88.42
708571;28;10;0;5;2;39;0.058;88.41
708582;1;23PC;1;5;1;53;0.098;88.40
708608;14;03;0;5;2;29;0.025;88.41
708635;10;62;1;5;2;27;0.015;88.41
708635;21;03;1;5;2;24;0.007;88.42
708784;3;03;0;5;1;44;0.092;88.41
708784;6;02;0;5;2;43;0.080;88.41
708784;12;10;0;5;2;31;0.029;88.41
708784;13;10;0;5;2;32;0.032;88.41
708802;2;10;0;5;1;40;0.064;88.41
708835;10;53CO;1;5;1;33;0.035;88.41
708848;4;10;0;5;1;36;0.046;89.33
708853;4;62;1;5;2;44;0.094;88.41
708853;5;61;1;5;1;24;0.012;88.42
708912;6;23SO;0;A;;30;0.022;98.60
708912;26;23SO;0;5;2;24;0.012;88.42
708948;20;25M;0;5;2;76;0.219;39.29
708948;21;25M;0;5;2;60;0.130;88.40
708996;2;06;0;A;;33;0.023;88.41
708996;5;10;1;C;2;120;0.756;14.14
708996;6;06;0;A;;109;0.437;39.28
708996;7;06;0;A;;82;0.224;39.29
708996;8;06;0;A;;95;0.317;39.29
708996;10;06;0;A;;108;0.428;39.28
708996;13;40;0;5;1;32;0.022;88.41
708996;17;06;0;A;;45;0.052;88.41
709047;12;13B;1;5;1;74;0.322;39.29
709047;14;13B;0;5;2;67;0.254;88.39
709047;23;13B;1;5;1;64;0.227;88.39
709097;9;02;0;5;2;43;0.080;88.41
709097;15;02;0;5;2;31;0.029;88.41
709097;16;02;0;5;2;47;0.102;88.41
709097;19;10;0;5;2;45;0.085;88.41
709098;20;40;0;5;2;24;0.011;88.42
709098;27;40;0;5;1;31;0.020;88.41
709098;33;40;0;5;1;24;0.011;88.42
709148;3;51;1;5;1;124;1.072;14.14
