idp;a;espar;ori;veget;datemort;c13;v;w
750127;16;17C;0;5;1;41;0.080;88.41
750127;17;17C;0;5;1;55;0.173;88.40
750131;1;05;0;5;2;53;0.092;88.40
750163;13;13G;0;5;1;31;0.036;88.41
750163;19;13G;0;5;2;27;0.023;88.41
750181;4;17C;0;5;1;28;0.019;88.41
750247;9;24;0;5;2;75;0.350;39.29
750247;11;24;0;5;2;64;0.236;88.39
750247;12;24;0;5;2;72;0.317;39.29
750247;19;24;1;C;2;54;0.153;88.40
750358;1;61;1;C;2;125;1.360;14.14
750358;2;61;1;C;2;130;1.498;14.14
750429;2;05;1;5;1;84;0.336;59.62
750456;3;03;0;5;2;48;0.102;93.00
750456;4;03;0;5;2;42;0.072;94.62
750524;29;09;0;5;1;41;0.063;88.41
750536;5;31;1;5;1;30;0.023;88.41
750587;3;03;0;5;1;27;0.019;88.41
750587;5;03;0;5;1;34;0.043;88.41
750587;14;03;0;5;1;30;0.028;88.41
750587;15;03;0;5;1;28;0.022;88.41
750635;3;52;1;5;2;30;0.021;88.41
750635;5;52;1;5;2;74;0.219;39.29
750729;11;10;1;C;2;80;0.357;39.29
750729;12;10;1;5;1;45;0.089;88.41
750729;13;07;1;C;2;49;0.099;88.40
750733;6;12V;1;5;1;31;0.033;88.41
750733;7;12V;1;5;1;30;0.030;88.41
750770;3;19;1;C;2;64;0.291;88.39
750828;2;09;1;C;2;36;0.044;88.41
750828;7;03;1;5;2;42;0.074;88.41
750828;20;09;1;5;2;39;0.057;88.41
750831;4;12V;1;C;2;38;0.060;88.41
750831;12;12V;1;5;1;69;0.269;88.39
750863;1;52;1;5;1;174;1.946;14.25
750869;1;18C;1;5;1;24;0.012;88.42
750893;4;10;1;5;2;148;1.227;14.14
750951;16;10;1;5;1;49;0.106;88.40
750955;10;61;1;5;1;24;0.012;88.42
750980;5;31;0;C;2;25;0.014;88.42
750980;8;31;0;5;2;27;0.017;88.41
750980;15;02;1;5;1;87;0.464;39.29
750980;20;31;0;5;2;24;0.013;88.42
751033;5;10;1;5;2;41;0.067;88.41
751033;13;10;0;5;2;39;0.058;88.41
751033;14;10;0;5;2;26;0.015;88.42
751033;17;10;0;5;2;33;0.036;88.41
751033;19;10;0;5;2;32;0.032;88.41
751033;24;10;1;5;2;39;0.058;88.41
751067;12;03;1;C;1;43;0.072;88.41
751076;7;25M;1;5;1;49;0.082;88.40
751076;16;25M;1;C;2;48;0.078;88.41
751081;13;10;0;5;1;26;0.015;88.42
751081;14;10;0;5;1;26;0.015;88.42
751106;15;61;1;5;2;27;0.015;88.41
751106;25;61;1;C;2;115;1.056;39.28
751122;7;31;0;5;1;24;0.013;88.42
751133;2;09;1;C;2;133;1.227;14.14
751133;4;09;1;5;2;116;0.895;39.28
751133;19;09;0;C;2;160;1.875;14.14
751133;20;61;1;C;2;118;1.168;14.14
751159;10;51;1;C;2;88;0.462;39.29
751165;4;06;0;C;2;27;0.013;88.41
751216;8;22M;0;A;;80;0.379;39.29
751216;15;02;1;5;2;37;0.052;88.41
751226;8;12V;1;5;1;37;0.056;88.41
751226;12;03;0;5;2;25;0.014;88.42
751228;1;02;1;C;2;147;1.521;14.71
751253;1;02;1;5;1;24;0.010;88.42
751263;6;10;0;5;2;88;0.401;39.29
751263;8;10;1;5;2;153;1.206;14.14
751263;16;10;0;5;2;34;0.039;88.41
751263;20;10;1;5;2;157;1.265;14.14
751335;5;03;0;5;2;48;0.126;88.41
751335;7;03;0;5;2;33;0.041;88.41
751335;11;03;0;5;2;33;0.041;88.41
751340;12;61;1;C;2;155;2.206;14.14
